Temp_Ambiente,Humedad_Ambiente,Temp_Grano,Tiempo_Restante_Horas
28.2,70.4,27.6,42.8
40.9,42.6,41.2,20.9
36.1,63.8,35.7,33.3
33.2,65.3,33.7,37.5
23.4,56.2,21.9,46.3
23.4,71.8,25.1,48.0
21.3,81.7,19.8,46.9
39.1,81.3,42.7,38.3
33.2,57.5,32.9,37.0
35.6,40.7,37.4,24.7
20.5,84.2,24.6,47.2
41.3,76.9,43.9,38.8
38.3,41.2,40.0,20.7
24.7,81.0,24.9,47.7
24.0,78.5,24.3,48.0
24.0,60.9,26.7,43.2
26.7,64.6,31.7,40.6
31.5,55.0,34.2,35.7
29.5,37.7,31.4,27.4
26.4,51.8,29.5,37.3
33.5,75.1,34.7,41.2
23.1,35.2,21.5,38.8
26.4,51.7,28.4,40.1
28.1,54.9,32.8,36.9
30.0,61.9,29.3,42.6
37.3,81.0,40.1,40.0
24.4,52.3,23.8,44.5
31.3,52.3,33.1,36.2
33.0,71.9,31.7,41.8
21.0,57.6,22.2,46.1
33.4,46.2,36.7,25.6
23.8,57.6,24.2,40.5
21.4,42.0,24.1,35.2
40.9,43.8,44.4,21.2
41.2,59.9,45.7,35.1
37.8,55.9,37.4,38.7
26.7,80.7,27.5,48.0
22.1,53.1,21.2,45.0
35.1,64.0,40.0,31.9
29.7,66.6,34.2,39.3
22.7,35.7,24.5,31.5
30.9,68.2,34.8,39.0
20.8,43.9,22.4,39.8
40.0,83.1,42.4,38.9
25.7,42.4,24.3,31.6
34.6,55.7,37.9,35.7
26.9,39.3,25.8,30.6
31.4,84.8,35.2,44.8
32.0,60.1,35.5,42.6
24.1,64.8,27.0,41.8
41.3,38.4,39.6,11.6
37.1,72.5,37.2,38.8
40.7,45.5,40.5,27.1
39.7,79.9,40.2,44.9
33.2,45.3,31.8,28.3
40.3,44.5,44.8,22.8
21.9,36.8,23.8,33.9
24.3,58.6,24.5,43.1
21.0,63.2,21.8,48.0
27.2,38.3,28.3,27.2
28.6,73.8,30.8,44.5
26.0,57.7,27.6,42.5
38.2,61.2,42.7,36.1
27.8,57.0,29.3,40.1
26.2,55.0,31.1,39.7
31.9,63.0,35.9,37.3
23.1,42.8,22.6,39.3
37.6,44.1,42.2,22.7
21.6,78.1,20.5,48.0
41.7,82.3,45.4,37.8
37.0,53.7,37.7,33.1
24.4,48.5,28.5,37.9
20.1,67.2,24.2,48.0
37.9,55.4,41.6,31.0
35.6,36.3,39.1,14.2
36.0,42.8,36.2,29.4
37.0,70.8,35.5,37.3
21.6,67.9,22.4,45.4
27.9,36.4,27.1,28.3
22.5,46.1,25.4,42.5
39.0,46.6,39.4,21.0
33.7,68.6,38.5,46.6
27.3,36.0,29.8,30.8
21.4,40.2,25.2,37.2
26.8,75.0,25.8,45.9
27.2,43.9,31.2,33.9
36.1,67.6,40.5,38.5
34.0,46.9,35.4,31.9
39.5,40.0,41.8,20.6
30.4,47.2,33.7,32.8
22.6,71.1,21.9,47.0
35.7,77.8,37.2,40.8
36.7,76.5,37.5,40.1
32.3,54.9,31.4,39.6
37.0,68.4,37.5,39.7
30.9,45.2,29.3,26.1
31.5,49.7,29.7,37.1
29.4,79.8,28.4,46.0
20.6,35.7,25.3,33.9
22.4,39.3,24.2,35.2
20.7,45.4,25.5,42.2
34.0,36.3,35.0,24.3
26.9,44.1,27.1,33.5
31.2,64.2,32.7,41.0
40.0,56.1,41.0,28.6
25.5,79.6,24.2,44.1
29.0,75.9,31.5,42.4
36.6,52.1,36.1,34.2
25.0,48.0,27.4,40.4
21.7,54.0,24.2,44.1
26.4,64.5,25.4,45.8
23.5,48.4,22.0,42.6
40.5,66.2,43.9,32.8
37.8,55.5,39.0,33.3
33.9,62.6,32.3,40.9
39.2,56.8,44.1,32.3
37.7,49.7,36.1,33.4
24.1,82.4,27.0,48.0
39.6,73.2,44.5,37.7
31.9,42.0,31.5,32.5
37.8,78.4,36.8,41.0
39.7,59.4,38.6,31.5
27.0,79.7,27.1,46.0
22.4,75.0,21.1,46.6
25.0,56.3,27.9,39.4
29.4,36.1,27.8,28.1
38.0,48.4,39.6,25.9
38.9,62.1,43.9,32.3
20.2,66.7,23.9,41.9
31.2,47.9,33.5,33.4
29.2,42.0,29.3,32.1
24.9,76.7,27.3,44.3
22.6,84.2,24.3,48.0
27.4,61.3,28.4,44.1
40.7,43.6,39.7,19.1
27.1,48.6,31.3,33.8
31.4,35.9,32.6,22.4
35.5,80.7,34.8,40.3
28.0,40.9,28.6,34.4
41.4,63.8,42.3,33.3
41.2,48.7,45.0,23.8
25.5,62.7,28.7,37.6
30.9,67.6,34.3,42.1
26.6,76.5,24.7,43.5
26.3,45.3,27.2,36.5
20.8,35.5,22.2,36.4
33.4,41.8,31.5,32.5
31.1,80.0,30.9,41.2
21.1,78.7,24.5,40.8
26.1,64.9,25.1,44.7
40.0,65.0,41.7,39.3
25.3,68.3,24.8,48.0
23.2,43.8,21.3,40.3
30.8,80.7,30.5,43.6
41.7,55.9,46.5,30.3
25.3,54.2,28.9,37.4
34.8,60.9,39.5,36.6
36.8,37.3,38.2,21.0
25.2,43.3,24.0,40.0
36.0,71.9,37.9,46.3
28.1,39.1,29.3,31.6
33.9,65.2,37.8,36.6
33.9,47.3,32.6,31.8
31.8,54.5,33.2,31.6
22.0,49.4,21.0,40.9
38.4,52.8,38.6,29.8
27.1,71.0,30.2,42.4
24.1,49.9,25.4,40.4
20.9,63.3,21.5,44.5
33.0,58.8,33.8,40.1
34.9,68.2,36.1,39.1
20.4,81.8,23.9,48.0
31.3,71.6,35.5,40.4
25.0,45.7,29.7,36.2
34.2,36.6,37.7,22.5
23.8,48.1,24.0,37.9
35.2,64.8,38.0,35.6
28.5,37.6,29.6,28.3
40.6,59.8,40.4,29.6
23.0,64.8,26.9,42.4
27.5,51.7,25.8,38.3
22.5,73.5,26.8,48.0
40.3,40.3,41.6,20.0
39.3,38.8,41.8,18.5
25.7,71.4,28.3,46.9
34.5,59.8,38.8,35.0
38.0,69.4,40.4,38.3
32.2,56.7,34.5,36.1
31.7,47.3,30.1,34.6
25.3,76.0,26.9,44.7
22.0,75.0,21.1,42.4
39.7,69.7,42.9,35.8
39.8,48.6,41.4,30.1
33.9,64.5,36.7,40.3
27.5,53.0,25.8,42.4
27.7,39.6,26.3,35.9
36.0,80.9,39.0,41.6
39.7,41.8,38.2,23.3
39.5,82.5,38.0,39.7
37.2,57.3,35.2,34.0
34.1,44.3,38.8,28.3
21.9,62.1,25.0,47.8
23.6,78.6,24.0,47.5
39.8,71.6,39.8,36.6
33.3,75.3,33.8,42.2
20.2,67.9,23.6,48.0
22.2,69.6,24.9,42.8
34.6,77.5,33.9,36.6
20.1,47.5,19.3,42.1
23.5,59.5,22.2,41.6
32.1,46.1,34.7,29.6
35.2,84.4,38.6,42.0
34.3,82.2,34.2,42.2
24.9,37.0,23.1,37.8
35.7,70.3,34.2,41.0
25.2,81.3,30.0,47.0
27.2,44.0,27.2,36.8
36.4,63.4,39.8,33.0
34.3,80.8,36.7,45.0
38.7,36.7,39.4,17.2
34.5,69.9,33.9,42.1
32.5,49.9,31.4,31.8
22.1,81.2,24.4,44.6
28.1,83.6,31.5,47.7
25.8,82.2,28.3,47.7
25.4,58.7,27.1,39.8
41.4,78.1,39.7,37.1
28.6,77.2,33.4,46.6
39.6,51.0,43.2,24.3
33.9,76.4,33.9,46.4
37.5,36.9,42.3,14.1
31.1,64.8,33.3,41.7
32.7,46.5,34.8,30.1
30.8,41.0,34.1,29.7
24.3,38.8,28.0,31.5
35.9,69.8,38.5,38.2
26.2,52.0,25.1,40.4
20.5,71.2,20.9,45.8
34.2,38.3,38.7,23.5
23.9,50.8,23.5,40.1
40.7,62.0,41.3,32.9
41.0,74.5,42.0,35.2
40.1,50.9,41.2,21.6
28.1,66.3,30.4,41.8
20.3,79.3,24.9,48.0
40.4,65.8,40.1,37.5
29.4,46.6,28.3,35.3
41.3,36.2,40.6,14.2
41.2,78.5,45.4,37.9
38.8,36.1,41.3,16.8
26.5,78.7,26.5,43.6
28.5,61.4,32.2,42.9
38.7,82.0,42.8,41.8
27.0,74.9,30.9,46.2
23.7,84.9,28.2,48.0
32.2,52.5,32.0,35.6
40.6,73.4,43.9,38.5
35.3,55.1,36.5,35.3
32.5,59.0,36.4,35.6
22.1,66.4,25.2,44.2
33.5,78.7,37.0,42.2
41.8,84.2,44.4,43.3
23.1,73.4,22.3,44.6
31.4,55.9,33.2,33.1
39.3,56.1,44.2,30.4
36.3,71.9,40.9,38.5
35.3,46.9,33.6,31.1
35.5,40.5,34.6,26.1
27.9,52.7,26.8,38.7
26.5,49.4,29.5,40.9
37.8,49.8,41.5,24.0
37.8,46.7,37.3,25.8
39.1,37.1,40.6,16.7
40.1,35.9,44.0,8.8
31.2,84.4,34.4,43.9
31.0,56.4,32.8,41.4
37.6,54.2,39.7,31.5
34.3,69.0,35.9,40.2
35.4,45.9,35.5,25.9
37.5,82.5,39.5,39.7
39.6,74.3,42.4,36.9
27.4,39.5,31.5,29.1
28.3,55.9,30.7,42.0
22.1,79.0,25.4,48.0
32.7,82.2,31.8,41.5
20.8,58.4,22.0,45.9
30.2,65.7,28.3,43.5
31.9,43.4,31.7,33.5
26.3,84.6,29.4,48.0
33.0,46.6,37.9,26.7
20.7,82.1,19.4,48.0
20.8,67.5,21.6,44.2
38.1,65.4,41.7,34.9
27.9,60.6,27.4,43.0
22.8,46.5,24.7,42.0
31.5,43.8,34.6,29.5
36.9,46.0,39.3,26.0
24.7,44.3,24.1,38.4
33.7,74.0,34.2,39.5
21.9,52.5,25.4,47.1
21.1,37.9,23.0,32.6
31.7,83.5,29.7,45.8
31.9,79.2,35.2,48.0
34.0,81.4,32.3,43.8
36.0,84.7,39.2,41.7
41.5,43.7,40.9,21.4
31.4,54.8,36.1,34.7
27.1,72.9,27.7,48.0
37.5,69.8,37.8,32.9
26.0,42.7,25.0,40.0
29.7,75.8,29.8,40.7
21.7,46.2,25.9,38.5
20.6,46.2,25.5,38.7
41.2,61.8,41.8,34.6
38.4,64.6,39.5,31.9
35.3,64.0,38.4,38.0
29.0,39.6,33.2,33.4
23.8,78.9,26.0,43.9
23.4,48.3,24.2,40.7
25.5,41.5,26.4,33.3
32.1,79.4,35.0,44.1
35.7,82.8,33.7,43.3
34.5,78.1,36.9,40.0
26.2,75.5,26.6,47.2
41.0,67.8,44.6,39.1
36.2,62.5,34.9,36.8
32.2,39.3,34.3,27.9
33.5,55.4,34.8,32.1
29.2,53.6,31.7,34.8
25.5,48.0,23.9,40.7
27.8,71.2,29.9,47.4
36.7,59.8,38.6,35.6
20.3,39.1,22.2,37.3
22.6,46.0,24.8,39.3
21.0,69.2,23.7,43.8
20.9,38.8,24.5,37.9
38.8,77.6,38.7,42.2
35.5,59.8,39.3,33.7
30.4,59.0,31.9,37.6
22.2,64.6,20.7,47.5
30.8,76.2,29.2,43.2
30.4,52.4,30.8,36.5
23.8,68.9,27.3,48.0
29.5,63.3,32.5,39.7
28.8,48.4,32.3,33.7
33.5,78.9,35.2,40.9
34.0,74.9,35.1,43.4
21.0,67.9,20.0,47.5
28.2,77.5,28.5,43.7
33.8,78.4,34.8,45.8
31.1,70.4,29.7,46.3
38.8,76.9,38.4,38.4
34.5,69.9,36.7,34.9
23.6,69.0,26.7,47.8
21.6,65.9,26.5,43.5
34.1,72.6,38.7,41.8
